site_code,site_name,land_use,annual_rainfall_mm,mean_annual_temperature_c,total_vegetation_cover,total_species_richness,native_species_richness,native_vegetation_cover,invasive_vegetation_cover,bioclim_pc1,soil_pc1
MW_P,Mayureshwar plantation,Tree plantation,457,25.39167,35.39523809,14.23809524,11.52380952,27.05714286,8.338095238,-2.79602545,2.441902993
NA_X,Nade,Fallow,1227,24.7125,12.08095238,9.523809525,6.523809524,8.019047619,4.061904762,3.38653257,-0.113616189
NB_X,Yesgaon,Fallow,500,25.51667,74.33809523,8.0,4.80952381,24.17142857,50.16666667,-3.020280179,-2.59258507
NG_P,Narayangaon,Tree plantation,635,24.35,40.96666667,13.19047619,11.0,24.63809524,16.32857143,0.622135816,-1.319488585
NP_P,NDA plantation,Tree plantation,1115,24.10833,31.65238095,3.285714286,2.0,20.54761905,11.1047619,3.013242304,1.015122772
NS_X,Nasrapur,Fallow,901,24.2875,34.65714286,9.619047618,6.619047619,28.75714286,5.9,2.452865506,0.531813883
PD_A,Pandhare,Tillage agriculture,460,25.50833,3.733333333,4.666666667,3.047619048,2.285714286,1.447619048,-2.470849684,5.277630142
PE_X,Peth,Fallow,737,23.92917,29.63809524,4.952380952,3.238095238,28.06190476,1.576190476,1.724288213,-0.386376599
PG_R,Pabe ghat,Old-growth savanna,1954,23.37083,70.81428571,13.57142857,13.0952381,70.71428571,0.1,6.155739229,0.128974392
PS_R,Pasarni ghat,Old-growth savanna,1287,23.05417,62.24285714,11.80952381,11.66666667,62.21904762,0.023809524,5.69283705,-0.168180184
PT_X,Peth Nashik ex ag,Fallow,1113,24.2,84.50476191,10.9047619,8.857142857,47.25714286,37.24761905,2.777653564,0.205002535
PV_R,Vetal tekdi,Old-growth savanna,922,24.49167,69.55714286,9.761904762,9.666666667,69.52380952,0.033333333,1.993362673,-0.154447337
RA_A,Raigaon,Tillage agriculture,824,24.16667,3.342857143,4.523809524,2.714285714,2.814285714,0.528571429,2.616765851,1.024263031
RK_A,Ram Krushna Nagar,Tillage agriculture,753,24.625,2.933333333,3.714285714,2.142857143,1.114285714,1.819047619,1.986950273,-0.108387642
RW_P,Rehekuri plantation,Tree plantation,587,25.93333,41.00952381,7.238095238,5.571428571,35.35238095,5.657142857,-3.51634052,2.745332273
SK_A,Siddheshwar,Tillage agriculture,505,24.525,2.933333333,4.095238095,2.476190476,1.60952381,1.323809524,-0.909687036,-0.750994499
SL_P,Surul,Tree plantation,984,24.48333,74.7047619,8.142857143,4.714285714,16.09047619,58.61428571,2.38556091,-1.012539711
SR_X,Adhiv Pandharpur,Fallow,627,26.59583,66.53809524,10.09523809,7.428571429,34.06666667,32.47142857,-3.671814082,0.532001656
SS_X,Savarde,Fallow,1431,24.51667,69.19523809,10.52380952,7.714285714,62.49047619,6.704761905,3.908221204,-0.243915353
ST_P,Satara,Tree plantation,804,24.21667,21.40952381,4.809523811,3.0,7.838095238,13.57142857,2.350253817,-0.077728741
SU_R,Supe,Old-growth savanna,459,25.39167,35.62380952,15.0952381,14.76190476,35.57619048,0.047619048,-2.747268215,-1.756160896
SV_P,Savargaon plantation,Tree plantation,508,25.54583,92.5809524,13.66666667,11.28571429,49.24285714,43.33809524,-3.221915782,-1.790526677
SW_P,Saswad plantation,Tree plantation,592,24.3375,39.16190476,10.57142857,7.333333333,11.51428571,27.64761905,-0.165338241,-0.38962459
TM_R,Tamdalge,Old-growth savanna,750,25.075,65.12857143,13.95238095,13.66666667,65.08571429,0.042857143,-0.421624083,-1.510251823
TW_R,Talwada,Old-growth savanna,587,25.95833,47.22380952,11.80952381,11.47619048,47.16666667,0.057142857,-3.614988988,-1.345105829
UD_X,Saswad ex ag,Fallow,573,24.37083,40.04285714,8.380952381,6.857142857,38.65714286,1.385714286,-0.446254866,-1.099279368
WG_R,Dhavleshwar,Old-growth savanna,498,24.60833,52.61428571,18.33333333,18.0,52.58095238,0.033333333,-1.232641919,-0.301666248
WK_R,Walekhindi,Old-growth savanna,912,26.25,27.07142857,9.047619048,8.952380952,27.06190476,0.00952381,-2.400532537,-0.947124374
WV_A,Walvad,Tillage agriculture,578,25.7875,4.680952381,3.571428571,2.142857143,2.423809524,2.257142857,-3.351325979,-0.498184358
YL_X,Yelavali,Fallow,613,25.39167,51.10952381,8.047619049,5.523809524,36.77619048,14.33333333,-1.720198794,0.423091891
